TitleBout,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Season,BlueWin,Continent_Europe,Continent_North America,Continent_Oceania,Continent_Other,Continent_South America,WeightClass_Catch Weight,WeightClass_Featherweight,WeightClass_Flyweight,WeightClass_Heavyweight,WeightClass_Light Heavyweight,WeightClass_Lightweight,WeightClass_Middleweight,WeightClass_Welterweight,WeightClass_Women's Bantamweight,WeightClass_Women's Featherweight,WeightClass_Women's Flyweight,WeightClass_Women's Strawweight,Gender_MALE,RedStance_Orthodox,RedStance_Southpaw,RedStance_Switch,BlueStance_Orthodox,BlueStance_Southpaw,BlueStance_Switch,BlueStance_Switch ,BetterRank_Red,BetterRank_neither,Prob_BlueWin_Bet
0,3,1,0,0,6.0,0.12,1.0,5.0,0.38,0,1,3,0,0,0,0,0,0,0,0,170.18,180.3,155,2,0,0,14.5,0.39,0.5,0.5,0.125,0,2,4,0,0,0,0,0,0,0,0,175.26,180.34,155,29,34,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0.6690069606713878
0,3,0,0,0,19.841809878528046,0.453058650008676,0.5002019838483146,1.3205362774363478,0.32541892367217723,0,0,0,0,0,0,0,0,0,0,0,177.8,177.8,185,0,1,0,21.0476,0.552,0.7143,2.2381,0.58,6,5,45,12,0,0,5,5,4,2,16,175.26,185.42,170,36,43,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0.22304834157902706
1,5,0,1,0,12.2857,0.491,1.2857,1.5714,0.42,5,1,12,0,0,0,1,0,5,0,6,185.42,182.88,170,0,10,0,30.2,0.77,0.3,0.2,0.2,10,0,19,6,0,0,1,7,2,0,10,187.96,195.58,185,34,32,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.1501210489127564
1,5,0,3,0,46.0,0.483,0.2857,4.0,0.347,3,1,18,0,0,0,4,1,1,0,6,167.64,172.72,145,0,2,0,38.75,0.624,0.6875,1.3125,0.416,3,5,45,9,0,0,1,5,4,1,11,175.26,177.8,155,31,28,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.1354679669868837
0,3,0,2,0,32.25,0.343,1.75,2.75,0.36,2,2,12,0,0,0,2,0,0,0,2,172.72,177.8,170,0,4,0,25.4286,0.437,1.1429,0.1429,0.143,4,2,16,0,0,0,1,1,3,0,5,185.42,185.42,155,24,25,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0.43619493221935474
0,3,1,0,0,58.75,0.375,0.25,0.0,0.0,3,1,11,0,0,1,1,1,0,0,3,177.8,185.42,170,0,1,0,11.5,0.44,0.5,0.0,0.0,1,1,2,1,0,0,0,0,1,0,1,185.42,190.5,170,27,32,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.5962732919254659
0,3,0,1,0,48.0,0.46,1.0,3.0,0.75,1,0,3,0,0,0,1,0,0,0,1,187.96,200.66,205,0,1,0,6.0,0.26,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,195.58,200.66,205,23,25,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.7857142482993215
0,3,0,2,0,28.6667,0.293,2.3333,3.0,0.803,2,1,8,0,0,1,0,0,1,0,2,175.26,180.34,170,0,2,0,30.0,0.455,1.0,0.5,0.5,2,0,4,0,0,0,0,1,1,0,2,187.96,193.04,170,25,25,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0.6040343081625252
0,3,2,0,0,5.5,0.36,0.0,0.0,0.0,0,2,2,0,0,0,0,0,0,0,0,187.96,195.58,245,0,1,0,26.0,0.26,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,182.88,182.88,240,30,36,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.3158617125484196
0,3,1,0,0,9.5,0.285,0.0,2.0,0.33,1,1,3,0,0,0,0,1,0,0,1,180.34,176.53,155,1,0,0,37.6,0.298,0.6,1.6,0.732,2,2,13,0,0,0,3,0,0,0,3,175.26,177.8,155,25,28,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0.6979866357371338
